feature,g_ds003474,se_ds003474,p_ds003474,g_ds003478,se_ds003478,p_ds003478,g_MODMA,se_MODMA,p_MODMA,g_TDBRAIN,se_TDBRAIN,p_TDBRAIN,n_consistent,direction,n_sig_p05,n_sig_p10,g_pooled,se_pooled,p_pooled
dds_LH_r2,-0.11554609697096865,0.22759803875340806,0.5736044215130726,-0.031561568820165815,0.22300728511076293,0.8361338044531971,-0.07486217855982503,0.27604763442918334,0.809380487457401,-0.194102523911287,0.1567346711307678,0.5478850699551396,4,CTL>,0,0,-0.12600458527609948,0.10356029079432828,0.2237081639134324
dds_LH_A1,-0.0638059168403035,0.22748084667414362,0.9964079291840373,-0.2864825802887129,0.22400384480673777,0.9966319390621369,-0.09309853953273745,0.2760999685396116,0.9075372095108933,-0.20799323724791327,0.1567596944150842,0.07993374033311082,4,CTL>,0,1,-0.17866644804163853,0.10365849451798621,0.0847789163292445
dds_RH_phi1,-0.22597628482220625,0.22807370861019285,0.3421509926821328,0.607663303228446,0.22749867665518048,0.007538900189790515,-0.18100178490541038,0.2765112970942464,0.9217123551056372,-0.23703897382849148,0.15681759050728517,0.022558891169677197,3,CTL>,2,2,-0.014326046051272,0.20435453708222093,0.9441109780957491
ais_frontal,-0.7063585043417944,0.23364850229449285,0.0018091749288813685,0.13808044251485127,0.22322978149033842,0.6760174236876813,-0.3342706106277625,0.27785526165629304,0.28770111768314033,-0.35287760652452554,0.15712330507850392,0.023682374086708376,3,CTL>,2,2,-0.31170626796769146,0.16627092172009297,0.06083552107102763
pid_redundancy,-0.4806583498051932,0.2303300037507086,0.04513504576298455,-0.37966082268987683,0.22476380232807508,0.11732893149012197,-0.8049670616592012,0.2868141705075338,0.003483428307604791,0.1035994260031327,0.1566139071550059,0.48594234423375815,3,CTL>,2,2,-0.349918026879798,0.20169843605310955,0.08276606403452313
dds_cACC_A2,0.5542064663753652,0.23127762099564203,0.023542753316623713,0.06812967525441342,0.2230521901759197,0.5349129332311398,0.5293365316352291,0.28070054285028917,0.05941212569225662,-0.17138785747855553,0.15669746977283713,0.15226184107904916,3,MDD>,1,2,0.20968051044903216,0.1903378743550262,0.27062576418913964
pid_synergy,-0.4901676014946738,0.23044514989989548,0.04140914718023917,-0.12359989237526076,0.2231831426222938,0.764399273621469,-0.5714614697500068,0.2814786980758199,0.05474831417110573,0.09159850577968176,0.15660340293011082,0.4139493105254809,3,CTL>,1,2,-0.22899190333031616,0.16367820690242432,0.1618018224534552
dds_RH_phi2,0.36394586756749603,0.22909688502274167,0.07835945170208283,0.31136457846160065,0.22418620994493416,0.09377019956030638,0.19956875176027103,0.27663180977710405,0.45836335858238986,-0.1183471412126444,0.15662858331754295,0.29394119430173493,3,MDD>,0,2,0.1451691496369035,0.127600304728994,0.2552513943666188
dds_RH_alpha2,0.06750618931603727,0.22748698441479628,0.6952985667826368,0.41728094136455346,0.22512995768341756,0.1318140970275086,0.29487463295490624,0.2774341691356038,0.2565209749609918,-0.0827862654116328,0.15659651175538103,0.09618408402481976,3,MDD>,0,1,0.12596671798157297,0.12070439528783536,0.2966719843590613
dds_RH_alpha2,0.06750618931603727,0.22748698441479628,0.6952985667826368,0.41728094136455346,0.22512995768341756,0.1318140970275086,0.29487463295490624,0.2774341691356038,0.2565209749609918,-0.0827862654116328,0.15659651175538103,0.09618408402481976,3,MDD>,0,1,0.12596671798157297,0.12070439528783536,0.2966719843590613
