feature,rho_ds003474,rsp_ds003474,rho_ds003478,rsp_ds003478,rho_MODMA,rsp_MODMA,rho_TDBRAIN,rsp_TDBRAIN
dds_LH_A1,-0.15623136040532465,0.1484460983723816,0.02451357845797921,0.8175893294993772,0.13644349560451197,0.329955506415299,0.22369719676037428,0.014462502219019426
dds_LH_A2,0.005906094699313525,0.956702472188375,-0.002031423304902961,0.9847528172263329,0.15868443357567497,0.25641643274485293,0.20753657632343706,0.02352631438119266
dds_LH_alpha1,0.018664361475902152,0.863762608365786,0.10683038368274267,0.3135039518030828,0.15889980515977542,0.25576322396915696,0.25730138878793835,0.004729164721911505
dds_LH_alpha2,-0.04227036983863273,0.6974662997082697,0.08162628188791897,0.441783053916161,0.13195733437159315,0.3462520143584724,0.21246954599604198,0.020348565543344323
dds_LH_phi1,-0.19445104943151997,0.07111315605195716,0.13201842679531417,0.21223832554719912,-0.038610788964116766,0.7837077439474199,0.029034704342220122,0.7539356643773327
dds_LH_phi2,0.10389399244779982,0.33824574543212527,0.20515769511294688,0.051077304485111635,0.09067255582549141,0.5184750164240102,0.2951480293778281,0.0011195929882161935
dds_LH_r2,0.01440242066644418,0.8946673823461782,0.0056446268116473585,0.9576503535357235,0.03686567131832122,0.793263262500356,0.210049240787716,0.021858238401724104
dds_RH_A1,-0.036355089922057444,0.738150446836238,0.03618824045532666,0.7334399658494667,0.16763752518155298,0.23020486172185783,0.14712400779699897,0.11033383683435413
dds_RH_A2,0.09433218127830469,0.3848001090209382,0.06720558522544577,0.5267635971177389,0.21434754609366766,0.12325871760473614,0.13785882298199634,0.13487868566407027
dds_RH_alpha1,0.06197266086511408,0.56852143782642,0.038219663760229616,0.7190836520523177,0.180074625285646,0.196953451125113,0.19604324493130787,0.03261537357574341
dds_RH_alpha2,-0.011830559833150577,0.9133961352841613,0.19985832996972175,0.05751429423261656,0.1993176954792752,0.1524714589677405,0.24048109735888162,0.008427931381913344
dds_RH_phi1,-0.1012027237901033,0.350974588360336,0.1109414063393052,0.2951367382081295,-0.002471215330129225,0.9859884777236521,-0.04350036009034661,0.6385361240631579
dds_RH_phi2,0.11521018011429168,0.2879591642275765,0.22107987856600048,0.035208942034683596,0.15994029710410135,0.25262328472913875,0.12414617038204946,0.1785638064535757
dds_RH_r2,0.05702182876102389,0.5998622402349142,0.09310021035711397,0.38007906460403384,0.1310959476770192,0.34943706175788336,0.219709603757302,0.01635642361104741
dds_cACC_A1,0.04785498193378455,0.6598227941498633,0.044410285768451685,0.6759492976381702,0.23598080816397926,0.08892073283376127,0.3536307231929222,7.973455673409435e-05
dds_cACC_A2,0.15263075523871364,0.15814502743071793,0.103602588550051,0.3284323118015531,0.32291897371245987,0.018354182868660494,0.35219105601397566,8.564820126152562e-05
dds_cACC_alpha1,0.11363950796253024,0.2946260150805391,-0.14095508346866198,0.18262951903988517,0.14300927814937386,0.3069891598342231,0.3444635101342214,0.00012501576357063713
dds_cACC_alpha2,0.13289172334318522,0.21980227982265982,-0.027275671805357147,0.7974534605440264,0.19146228003794358,0.16963644336745842,0.27839912149932255,0.0021711151062869458
dds_cACC_phi1,0.0038486060326786424,0.9717780709955852,0.10218139517073155,0.3351465806472722,0.11736483818661078,0.4026190399959776,0.04540696044309442,0.62388191938769
dds_cACC_phi2,0.09821752818003038,0.36543754056540667,0.05930471355736469,0.576569795193077,0.1270878485990328,0.36449347849326796,0.27407430811011985,0.0025595077794260002
dds_cACC_r2,0.03647449774646035,0.7373215706507306,0.07810943047468775,0.46176628904098327,0.06558848556523303,0.6407800305444596,0.2465786397208095,0.00686469857710289
dds_frontal_A1,-0.09699589428421591,0.37146010049319267,0.02240989108294136,0.8330059010033063,0.227756927639123,0.10096485833972442,0.2531319762111133,0.005476460902849297
dds_frontal_A2,-0.10353576897459106,0.33992302021845255,-0.00688917468619265,0.9483246336433255,0.2311599126838911,0.09583663349179519,0.24898402424008906,0.0063225472721382715
dds_frontal_alpha1,-0.06368111127580198,0.5578876190534467,0.05406958314314837,0.6107288568759204,0.14508419231951952,0.2999504173957697,0.2747166866100422,0.0024981110855127457
dds_frontal_alpha2,-0.029622325669185257,0.7853435948773065,0.014227992475446824,0.8935157405168559,0.1351580188712419,0.33457509503400384,0.21190070124827515,0.020695068261020178
dds_frontal_phi1,0.112950616667898,0.2975818723373092,0.1456121013217992,0.16845000933132148,-0.23806610278399798,0.08605289470335625,-0.12005375263241111,0.19342369312668975
