feature_set,classifier,roc_auc,balanced_accuracy,f1,sensitivity,specificity,n_subjects,n_features
DDS only,LogReg,0.434,0.458,0.516,0.522,0.395,84,56
DDS only,LDA,0.333,0.371,0.458,0.478,0.263,84,56
DDS only,SVM-Lin,0.554,0.469,0.532,0.543,0.395,84,56
DDS only,SVM-RBF,0.537,0.467,0.542,0.565,0.368,84,56
DDS only,RF,0.397,0.414,0.577,0.696,0.132,84,56
DDS only,XGB,0.432,0.484,0.588,0.652,0.316,84,56
Info only,LogReg,0.456,0.489,0.506,0.478,0.5,84,13
Info only,LDA,0.41,0.457,0.452,0.413,0.5,84,13
Info only,SVM-Lin,0.389,0.555,0.537,0.478,0.632,84,13
Info only,SVM-RBF,0.425,0.502,0.512,0.478,0.526,84,13
Info only,RF,0.422,0.431,0.566,0.652,0.211,84,13
Info only,XGB,0.384,0.39,0.5,0.543,0.237,84,13
DDS+Info,LogReg,0.402,0.454,0.536,0.565,0.342,84,69
DDS+Info,LDA,0.436,0.515,0.583,0.609,0.421,84,69
DDS+Info,SVM-Lin,0.55,0.423,0.478,0.478,0.368,84,69
DDS+Info,SVM-RBF,0.564,0.427,0.525,0.565,0.289,84,69
DDS+Info,RF,0.415,0.462,0.613,0.739,0.184,84,69
DDS+Info,XGB,0.438,0.479,0.604,0.696,0.263,84,69
DDS+Info+Baseline,LogReg,0.471,0.456,0.526,0.543,0.368,84,1217
DDS+Info+Baseline,LDA,0.457,0.423,0.478,0.478,0.368,84,1217
DDS+Info+Baseline,SVM-Lin,0.399,0.419,0.5,0.522,0.316,84,1217
DDS+Info+Baseline,SVM-RBF,0.433,0.539,0.604,0.63,0.447,84,1217
DDS+Info+Baseline,RF,0.426,0.449,0.554,0.609,0.289,84,1217
DDS+Info+Baseline,XGB,0.384,0.441,0.531,0.565,0.316,84,1217
