feature_set,classifier,roc_auc,balanced_accuracy,f1,sensitivity,specificity,n_subjects,n_features
Baseline spectral,LogReg,0.676,0.611,0.492,0.533,0.689,91,960
Baseline spectral,LDA,0.662,0.586,0.471,0.533,0.639,91,960
Baseline spectral,SVM-Lin,0.69,0.636,0.523,0.567,0.705,91,960
Baseline spectral,SVM-RBF,0.701,0.635,0.491,0.433,0.836,91,960
Baseline spectral,RF,0.687,0.627,0.491,0.467,0.787,91,960
Baseline spectral,XGB,0.661,0.594,0.448,0.433,0.754,91,960
DDS only,LogReg,0.637,0.644,0.537,0.6,0.689,91,56
DDS only,LDA,0.644,0.569,0.426,0.433,0.705,91,56
DDS only,SVM-Lin,0.651,0.57,0.448,0.5,0.639,91,56
DDS only,SVM-RBF,0.61,0.602,0.467,0.467,0.738,91,56
DDS only,RF,0.504,0.508,0.062,0.033,0.984,91,56
DDS only,XGB,0.527,0.484,0.146,0.1,0.869,91,56
Info only,LogReg,0.63,0.587,0.486,0.6,0.574,91,13
Info only,LDA,0.59,0.579,0.487,0.633,0.525,91,13
Info only,SVM-Lin,0.646,0.671,0.588,0.833,0.508,91,13
Info only,SVM-RBF,0.655,0.637,0.554,0.767,0.508,91,13
Info only,RF,0.65,0.545,0.418,0.467,0.623,91,13
Info only,XGB,0.609,0.495,0.344,0.367,0.623,91,13
DDS+Info,LogReg,0.601,0.553,0.435,0.5,0.607,91,69
DDS+Info,LDA,0.593,0.504,0.389,0.467,0.541,91,69
DDS+Info,SVM-Lin,0.644,0.586,0.462,0.5,0.672,91,69
DDS+Info,SVM-RBF,0.611,0.569,0.4,0.367,0.77,91,69
DDS+Info,RF,0.558,0.525,0.167,0.1,0.951,91,69
DDS+Info,XGB,0.58,0.536,0.357,0.333,0.738,91,69
DDS+Info+Baseline,LogReg,0.715,0.636,0.523,0.567,0.705,91,1029
DDS+Info+Baseline,LDA,0.686,0.619,0.507,0.567,0.672,91,1029
DDS+Info+Baseline,SVM-Lin,0.714,0.611,0.484,0.5,0.721,91,1029
DDS+Info+Baseline,SVM-RBF,0.701,0.618,0.473,0.433,0.803,91,1029
DDS+Info+Baseline,RF,0.637,0.578,0.444,0.467,0.689,91,1029
DDS+Info+Baseline,XGB,0.596,0.519,0.361,0.367,0.672,91,1029
