dataset,mode,feature_set,classifier,roc_auc,roc_auc_std,bal_acc,N,n_HC,n_MDD,n_features
MODMA,rest,Baseline spectral,LogReg,0.6103333333333333,0.2201625661995144,0.5983333333333333,53,29,24,896
MODMA,rest,Baseline spectral,LDA,0.6203333333333333,0.17622082106770975,0.64,53,29,24,896
MODMA,rest,Baseline spectral,SVM-Lin,0.5933333333333334,0.22150996967781533,0.5666666666666667,53,29,24,896
MODMA,rest,Baseline spectral,SVM-RBF,0.43500000000000005,0.07824463062870335,0.5599999999999999,53,29,24,896
MODMA,rest,Baseline spectral,RF,0.5159999999999999,0.22755121523638489,0.5633333333333334,53,29,24,896
MODMA,rest,Baseline spectral,MLP,0.509,0.27477586825952854,0.4883333333333334,53,29,24,896
MODMA,rest,Baseline spectral,XGB,0.49000000000000005,0.16983652270475996,0.5433333333333333,53,29,24,896
MODMA,rest,DDS only,LogReg,0.437,0.14555793043015938,0.44666666666666666,53,29,24,72
MODMA,rest,DDS only,LDA,0.44333333333333336,0.20859317129549357,0.4916666666666666,53,29,24,72
MODMA,rest,DDS only,SVM-Lin,0.387,0.18453665700282365,0.5083333333333334,53,29,24,72
MODMA,rest,DDS only,SVM-RBF,0.49733333333333335,0.101245576035038,0.5066666666666666,53,29,24,72
MODMA,rest,DDS only,RF,0.4956666666666666,0.160546289621128,0.5833333333333333,53,29,24,72
MODMA,rest,DDS only,MLP,0.47400000000000003,0.26514901470682484,0.5116666666666667,53,29,24,72
MODMA,rest,DDS only,XGB,0.4836666666666667,0.2814652139548805,0.5200000000000001,53,29,24,72
MODMA,rest,Info only,LogReg,0.6773333333333333,0.16868642835483572,0.6016666666666666,53,29,24,12
MODMA,rest,Info only,LDA,0.6506666666666667,0.13283908394076735,0.48166666666666663,53,29,24,12
MODMA,rest,Info only,SVM-Lin,0.5546666666666666,0.18510777641387433,0.5249999999999999,53,29,24,12
MODMA,rest,Info only,SVM-RBF,0.5623333333333334,0.2350593305718556,0.42833333333333334,53,29,24,12
MODMA,rest,Info only,RF,0.5871666666666666,0.14353822564816043,0.5333333333333333,53,29,24,12
MODMA,rest,Info only,MLP,0.5963333333333334,0.1985738037998858,0.5116666666666667,53,29,24,12
MODMA,rest,Info only,XGB,0.6503333333333333,0.10811722033669441,0.5533333333333333,53,29,24,12
MODMA,rest,DDS+Info,LogReg,0.586,0.1310877568653915,0.61,53,29,24,84
MODMA,rest,DDS+Info,LDA,0.5563333333333333,0.1923665482584976,0.5833333333333334,53,29,24,84
MODMA,rest,DDS+Info,SVM-Lin,0.5536666666666668,0.23373394181324106,0.5666666666666667,53,29,24,84
MODMA,rest,DDS+Info,SVM-RBF,0.5336666666666666,0.19096363819091614,0.5683333333333334,53,29,24,84
MODMA,rest,DDS+Info,RF,0.5680000000000001,0.23496193545149205,0.555,53,29,24,84
MODMA,rest,DDS+Info,MLP,0.5596666666666666,0.2926059162461043,0.5283333333333333,53,29,24,84
MODMA,rest,DDS+Info,XGB,0.48233333333333334,0.1778376288141017,0.4616666666666666,53,29,24,84
MODMA,rest,DDS+Info+Baseline,LogReg,0.5920000000000001,0.24799283143761328,0.5983333333333334,53,29,24,980
MODMA,rest,DDS+Info+Baseline,LDA,0.6463333333333334,0.21640599704156901,0.6116666666666667,53,29,24,980
MODMA,rest,DDS+Info+Baseline,SVM-Lin,0.558,0.24664504409733795,0.5416666666666667,53,29,24,980
MODMA,rest,DDS+Info+Baseline,SVM-RBF,0.43,0.1275408431313933,0.54,53,29,24,980
MODMA,rest,DDS+Info+Baseline,RF,0.5688333333333334,0.2003244590380538,0.5683333333333334,53,29,24,980
MODMA,rest,DDS+Info+Baseline,MLP,0.44000000000000006,0.29393876913398137,0.3666666666666667,53,29,24,980
MODMA,rest,DDS+Info+Baseline,XGB,0.47433333333333333,0.19633191850084444,0.5149999999999999,53,29,24,980
