feature,spearman_rho,pval
dds_cACC_A2_mean,0.32291897371245987,0.018354182868660494
dds_cACC_A2_std,0.30922601007994055,0.024255840737050026
dds_frontal_A1_std,0.2811108717338802,0.041446269571438786
info_PID_redundancy,-0.2721577801280022,0.048668814858525915
dds_frontal_A2_std,0.2521044753999044,0.06858817583536277
dds_frontal_phi1_mean,-0.23806610278399798,0.08605289470335625
dds_RH_alpha2_std,0.237560765506193,0.08674112210839398
dds_cACC_A1_mean,0.23598080816397926,0.08892073283376127
dds_frontal_f1_std,0.23288018359469378,0.09332240063293787
dds_frontal_A2_mean,0.2311599126838911,0.09583663349179519
dds_frontal_phi1_std,0.22947692412671286,0.0983469765054264
dds_cACC_A1_std,0.228607673900315,0.09966334708362524
dds_frontal_A1_mean,0.227756927639123,0.10096485833972442
dds_RH_A2_mean,0.21434754609366766,0.12325871760473614
dds_RH_phi1_std,0.21094456104889958,0.12946911285836996
info_AIS_RH,-0.2093646037066858,0.13243139760870748
dds_frontal_f2_std,0.20346629819285875,0.143941154081644
dds_RH_f2_std,0.20288272743093702,0.14511914062909848
dds_frontal_phi2_std,0.20018458370587713,0.15065883412850442
dds_RH_A2_std,0.1998848596534032,0.15128373240372334
dds_RH_alpha2_mean,0.1993176954792752,0.1524714589677405
dds_RH_phi2_std,0.19717057396293342,0.15703024964484733
dds_LH_phi2_std,0.1967002942505634,0.15804199662637097
dds_cACC_alpha2_mean,0.19146228003794358,0.16963644336745842
dds_cACC_alpha2_std,0.1874110256994344,0.17901940719539486
dds_RH_alpha1_std,0.18291044615628607,0.18987572968809624
dds_cACC_f2_std,0.18226593268952776,0.19146813107081792
dds_RH_alpha1_mean,0.180074625285646,0.196953451125113
dds_LH_alpha2_std,0.17222923807603396,0.2175051527179771
dds_cACC_alpha1_std,0.17213779684325484,0.21775318923144554
dds_RH_A1_mean,0.16763752518155298,0.23020486172185783
info_AIS_LH,-0.16524733330487062,0.23701418879228248
dds_cACC_f1_mean,-0.16435938851331722,0.23957864761919886
info_AIS_cACC,-0.16395095804972087,0.24076457905225013
dds_LH_f2_std,0.16254615458975494,0.24487420971140633
dds_frontal_alpha1_std,0.16173585471642615,0.24726626648599148
dds_LH_phi1_std,0.16120915979876244,0.24882958862846977
dds_RH_f2_mean,-0.16103411372563392,0.24935063717527484
dds_RH_phi2_mean,0.15994029710410135,0.25262328472913875
dds_LH_alpha1_mean,0.15889980515977542,0.25576322396915696
dds_LH_A2_mean,0.15868443357567497,0.25641643274485293
info_PID_synergy,-0.15783368731448297,0.2590076773538351
dds_frontal_alpha2_std,0.1526199811414773,0.27527168897911214
dds_LH_f1_std,0.15229586119214578,0.27630461128516676
dds_frontal_alpha1_mean,0.14508419231951952,0.2999504173957697
dds_cACC_alpha1_mean,0.14300927814937386,0.3069891598342231
dds_LH_alpha1_std,0.14297741264886468,0.3070980780680358
info_TE_LH_to_RH,0.14284434842681387,0.3075531680164259
dds_cACC_phi1_std,0.1392821241579454,0.31989712185574753
dds_LH_A1_mean,0.13644349560451197,0.329955506415299
dds_frontal_alpha2_mean,0.1351580188712419,0.33457509503400384
dds_LH_alpha2_mean,0.13195733437159315,0.3462520143584724
dds_RH_r2_mean,0.1310959476770192,0.34943706175788336
dds_RH_f1_mean,0.12971854896842258,0.35456746425893215
dds_cACC_phi2_mean,0.1270878485990328,0.36449347849326796
info_TE_LH_to_frontal,-0.12339871959956752,0.37869363638951725
dds_cACC_phi2_std,0.1226719813700578,0.3815294283492314
info_AIS_frontal,-0.12230490297803492,0.38296659091850815
dds_LH_f1_mean,0.12162601098665113,0.3856330112576144
dds_frontal_f1_mean,0.11976232127799491,0.39300920227589065
dds_RH_r2_std,0.11934754692722455,0.3946620247338579
dds_cACC_phi1_mean,0.11736483818661078,0.4026190399959776
dds_RH_A1_std,0.11720042541088274,0.40328302393054616
dds_frontal_f2_mean,-0.11486000704435576,0.412803655671207
dds_frontal_r2_std,0.11404051072645521,0.41616759064936804
dds_RH_f1_std,0.11343283482560376,0.41867213142791326
dds_frontal_r2_mean,0.10670788818951439,0.4469579925474537
dds_cACC_f1_std,0.09771625464484128,0.4863721412199077
info_PID_unique_s2,-0.09580433672095719,0.49498158203274234
dds_LH_f2_mean,-0.09180697564815171,0.5132339192174427
dds_LH_phi2_mean,0.09067255582549141,0.5184750164240102
dds_LH_A2_std,0.0842238798580108,0.548769446173728
dds_cACC_f2_mean,-0.07498871780580482,0.5935762830568645
dds_cACC_r2_mean,0.06558848556523303,0.6407800305444596
dds_frontal_phi2_mean,0.04987395720338692,0.7228512088941845
dds_cACC_r2_std,0.049748400416371935,0.7235210993041139
dds_LH_A1_std,0.042901918600112283,0.760348219158873
dds_LH_phi1_mean,-0.038610788964116766,0.7837077439474199
dds_LH_r2_mean,0.03686567131832122,0.793263262500356
info_TE_RH_to_frontal,0.03240938137874393,0.8177979114195375
info_PID_unique_s1,0.028286675745071977,0.8406517998921283
info_TE_cACC_to_frontal,0.01636673759626569,0.9074003808254384
dds_LH_r2_std,0.005023454113705309,0.9715220098551605
dds_RH_phi1_mean,-0.002471215330129225,0.9859884777236521
