dataset,task,feature_set,classifier,roc_auc,roc_auc_std,bal_acc,N,n_HC,n_MDD,n_features
TDBRAIN,restEO,Baseline spectral,LogReg,0.7267530407191962,0.020939740427323425,0.6399770844350432,356,47,309,182
TDBRAIN,restEO,Baseline spectral,LDA,0.7205405723015453,0.0344668814891287,0.6637422880310242,356,47,309,182
TDBRAIN,restEO,Baseline spectral,SVM-Lin,0.6954403901521828,0.012416859992249235,0.6383377401727481,356,47,309,182
TDBRAIN,restEO,Baseline spectral,SVM-RBF,0.6864410364886304,0.03779835226738068,0.6221182208120336,356,47,309,182
TDBRAIN,restEO,Baseline spectral,RF,0.6568188495211235,0.05783163908837223,0.5417580351371997,356,47,309,182
TDBRAIN,restEO,Baseline spectral,MLP,0.6821987190786768,0.04170987681994412,0.5823050708032199,356,47,309,182
TDBRAIN,restEO,Baseline spectral,XGB,0.6344074269933604,0.04959906552722051,0.5777983430283801,356,47,309,182
TDBRAIN,restEO,DDS only,LogReg,0.5335442740466537,0.10648543100951846,0.5239608672659968,356,47,309,72
TDBRAIN,restEO,DDS only,LDA,0.5567013338033961,0.10655424963366328,0.5316140783829837,356,47,309,72
TDBRAIN,restEO,DDS only,SVM-Lin,0.5466572654092485,0.10710907495881314,0.5444908631529467,356,47,309,72
TDBRAIN,restEO,DDS only,SVM-RBF,0.5081591162818027,0.039395476170399714,0.48539279628650334,356,47,309,72
TDBRAIN,restEO,DDS only,RF,0.5542852106469239,0.052018474736982456,0.49381808566895824,356,47,309,72
TDBRAIN,restEO,DDS only,MLP,0.5359292555379283,0.06019169234065564,0.47463834537869437,356,47,309,72
TDBRAIN,restEO,DDS only,XGB,0.5561519478230212,0.03583334859221411,0.5099112756331159,356,47,309,72
TDBRAIN,restEO,Info only,LogReg,0.546512721076444,0.06754456746074433,0.5457077384100123,356,47,309,12
TDBRAIN,restEO,Info only,LDA,0.5377102062400846,0.0808588288165142,0.5593372113520183,356,47,309,12
TDBRAIN,restEO,Info only,SVM-Lin,0.5164504377460486,0.05726579152899994,0.49847875903402084,356,47,309,12
TDBRAIN,restEO,Info only,SVM-RBF,0.5343069510547036,0.08521720897041865,0.5161966037957576,356,47,309,12
TDBRAIN,restEO,Info only,RF,0.5349459427698455,0.0719696693404491,0.5110071097009226,356,47,309,12
TDBRAIN,restEO,Info only,MLP,0.5053410893707033,0.12412967591093635,0.528865973323932,356,47,309,12
TDBRAIN,restEO,Info only,XGB,0.5163858041012985,0.10704534267623335,0.5271796227745462,356,47,309,12
TDBRAIN,restEO,DDS+Info,LogReg,0.5234426229508197,0.06008406673907263,0.4992808038075093,356,47,309,84
TDBRAIN,restEO,DDS+Info,LDA,0.5418297197250133,0.06718518867076084,0.530429519948293,356,47,309,84
TDBRAIN,restEO,DDS+Info,SVM-Lin,0.535882836829426,0.06699132081230913,0.5254474410952465,356,47,309,84
TDBRAIN,restEO,DDS+Info,SVM-RBF,0.554698865973324,0.02648240319354895,0.5392960808508137,356,47,309,84
TDBRAIN,restEO,DDS+Info,RF,0.5205819965920442,0.03869386037708443,0.49689112168752575,356,47,309,84
TDBRAIN,restEO,DDS+Info,MLP,0.573443798107997,0.036300440402047045,0.5448686761854399,356,47,309,84
TDBRAIN,restEO,DDS+Info,XGB,0.530860802632352,0.05695211652107575,0.5053422645278806,356,47,309,84
TDBRAIN,restEO,DDS+Info+Baseline,LogReg,0.6878582760444208,0.032018888194783525,0.6357664962688759,356,47,309,266
TDBRAIN,restEO,DDS+Info+Baseline,LDA,0.687533345084905,0.0455498594628093,0.6274170045243552,356,47,309,266
TDBRAIN,restEO,DDS+Info+Baseline,SVM-Lin,0.6763981432516598,0.03298945455213492,0.6057382924966215,356,47,309,266
TDBRAIN,restEO,DDS+Info+Baseline,SVM-RBF,0.6746136670779717,0.02882732690817966,0.6252270991245079,356,47,309,266
TDBRAIN,restEO,DDS+Info+Baseline,RF,0.6521408425876961,0.05715690457585449,0.508192608261355,356,47,309,266
TDBRAIN,restEO,DDS+Info+Baseline,MLP,0.6407338856572066,0.05467542141585103,0.5793113578941184,356,47,309,266
TDBRAIN,restEO,DDS+Info+Baseline,XGB,0.6517057406428111,0.07176072063022362,0.4987584464422117,356,47,309,266
