Subject,Group,VAR_Crash,FOOOF_Crash
sub,HC_Limpio,False,True
sub_SYNTHETIC,HC_Inyectado_Ruido,False,True
sub,HC_Limpio,False,True
sub_SYNTHETIC,HC_Inyectado_Ruido,False,True
sub,HC_Limpio,False,True
sub_SYNTHETIC,HC_Inyectado_Ruido,False,True
sub,HC_Limpio,False,True
sub_SYNTHETIC,HC_Inyectado_Ruido,False,True
sub,HC_Limpio,False,True
sub_SYNTHETIC,HC_Inyectado_Ruido,False,True
sub,HC_Limpio,False,True
sub_SYNTHETIC,HC_Inyectado_Ruido,False,True
sub,HC_Limpio,False,True
sub_SYNTHETIC,HC_Inyectado_Ruido,False,True
sub,HC_Limpio,False,True
sub_SYNTHETIC,HC_Inyectado_Ruido,False,True
sub,HC_Limpio,False,True
sub_SYNTHETIC,HC_Inyectado_Ruido,False,True
sub,HC_Limpio,False,True
sub_SYNTHETIC,HC_Inyectado_Ruido,False,True
sub,HC_Limpio,False,True
sub_SYNTHETIC,HC_Inyectado_Ruido,False,True
sub,HC_Limpio,False,True
sub_SYNTHETIC,HC_Inyectado_Ruido,False,True
sub,HC_Limpio,False,True
sub_SYNTHETIC,HC_Inyectado_Ruido,False,True
sub,HC_Limpio,False,True
sub_SYNTHETIC,HC_Inyectado_Ruido,False,True
sub,HC_Limpio,False,True
sub_SYNTHETIC,HC_Inyectado_Ruido,False,True
